loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), magADC[0], magADC[1], magADC[2], BaroAlt (cm), gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 377701396,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 727, 305, -246, -67,   0,   0,   0,  79, 429, 4130, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
 16, 377717363,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -1,   1,   2,  81, 429, 4132, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
 32, 377733294,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -2,   1,   0,  81, 431, 4144, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
 48, 377749224,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -2,   1,   1,  78, 432, 4130, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
 64, 377765121,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -1,   0,   1,  82, 431, 4131, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
 80, 377781028,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -2,   0,   1,  84, 427, 4138, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
 96, 377796949,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -2,   0,   2,  80, 423, 4137, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
112, 377812880,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -1,   0,   2,  84, 435, 4135, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
128, 377828790,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -2,   0,   2,  81, 433, 4133, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
144, 377844786,   1,   0,  -6,   0,   0,  -1,   0,   0,   1,   0,  -5, 1100, 0.000, 726, 305, -239, -67,  -2,   0,   2,  79, 432, 4128, 1100, 1106, 1108, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
160, 377860735,   1,   0, -10,   0,   0,  -1,   0,   0,   1,   0, -10, 1100, 0.000, 726, 305, -239, -63,   0,   1,   2,  84, 427, 4131, 1100, 1110, 1112, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
176, 377876664,   1,   0, -22,   0,   0,  -1,   0,   0,   1,   0, -22, 1100, 0.000, 726, 305, -239, -63,  -1,   1,   1,  80, 427, 4136, 1100, 1122, 1124, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
192, 377892591,   1,   0, -33,   0,   0,  -1,   0,   0,   1,   0, -33, 1100, 0.000, 726, 305, -239, -61,  -2,   0,   1,  77, 429, 4132, 1100, 1133, 1135, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
208, 377908520,   1,   0, -33,   0,   0,  -3,   0,   0,   1,   0, -33, 1100, 0.000, 731, 306, -251, -60,   0,   1,   3,  84, 424, 4134, 1100, 1135, 1137, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
224, 377924459,   1,   0, -36,   0,   0,  -3,   0,   0,   1,   0, -36, 1100, 0.000, 731, 306, -251, -60,  -2,   1,   1,  83, 427, 4138, 1100, 1138, 1140, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
240, 377940404,   1,   0, -16,   0,   0,  -1,   0,   0,   1,   0, -15, 1100, 0.000, 731, 306, -251, -59,   0,   1,   2,  80, 432, 4121, 1100, 1116, 1118, 1100, 0, SMALL_ANGLE, IDLE, 1, 1
256, 377956341,   1,   0,  15,   0,   0,   0,   0,   0,   1,   0,  16, 1100, 0.000, 731, 306, -251, -59,  -3,  -1,   3,  85, 431, 4138, 1114, 1100, 1100, 1116, 0, SMALL_ANGLE, IDLE, 1, 1
272, 377972267,   1,   0,  19,   0,   0,   0,   0,   0,   1,   0,  21, 1100, 0.000, 731, 306, -251, -59,  -1,   1,   1,  90, 428, 4122, 1118, 1100, 1100, 1120, 0, SMALL_ANGLE, IDLE, 1, 1
288, 377988200,   1,   0,  19,   0,   0,   1,   0,   0,   1,   0,  21, 1100, 0.000, 731, 306, -251, -59,  -3,   0,   1,  92, 420, 4132, 1119, 1100, 1100, 1121, 0, SMALL_ANGLE, IDLE, 1, 1
304, 378004124,   1,   0,   8,   0,   0,   2,   0,   0,   1,   0,   9, 1130, 0.000, 731, 306, -251, -59,  -3,   1,   1,  84, 425, 4138, 1139, 1119, 1121, 1141, 0, SMALL_ANGLE, IDLE, 1, 1
320, 378020052,   1,   0, -16,   0,   0,   1,   0,   0,   1,   0, -16, 1160, 0.000, 727, 305, -239, -59,  -1,  -1,   1,  78, 419, 4138, 1144, 1174, 1176, 1146, 0, SMALL_ANGLE, IDLE, 1, 1
336, 378035968,   1,   0, -17,   0,   0,   0,   0,   0,   1,   0, -17, 1172, 0.000, 727, 305, -239, -59,  -2,   1,   2,  84, 426, 4126, 1154, 1188, 1190, 1156, 0, SMALL_ANGLE, IDLE, 1, 1
352, 378051891,   1,   0, -17,   0,   0,  -1,   0,   0,   1,   0, -17, 1172, 0.000, 727, 305, -239, -59,  -2,   0,   2,  83, 425, 4136, 1153, 1189, 1191, 1155, 0, SMALL_ANGLE, IDLE, 1, 1
368, 378067766,   1,   0, -24,   0,   0,  -3,   0,   0,   1,   0, -24, 1226, 0.000, 727, 305, -239, -59,  -1,   0,   1,  90, 425, 4140, 1198, 1252, 1254, 1200, 0, SMALL_ANGLE, IDLE, 1, 1
384, 378083707,   1,   0, -39,   0,   0,  -5,   0,   0,   1,   0, -39, 1293, 0.000, 727, 305, -239, -59,  -2,   1,   2,  85, 428, 4138, 1248, 1336, 1338, 1250, 0, SMALL_ANGLE, IDLE, 1, 1
400, 378099644,   1,   0, -50,   1,   0,  -8,   0,   0,   1,   0, -51, 1355, 0.000, 727, 305, -239, -59,  -3,   1,   1,  82, 429, 4125, 1295, 1411, 1415, 1299, 0, SMALL_ANGLE, IDLE, 1, 1
416, 378115589,   1,   0, -69,   1,   0, -11,   0,   0,   1,   0, -70, 1393, 0.008, 731, 304, -252, -59,  -1,   1,   0,  79, 427, 4133, 1311, 1471, 1475, 1315, 0, SMALL_ANGLE, IDLE, 1, 1
432, 378131490,   1,   0, -69,   1,   0, -16,   0,   0,   1,   0, -70, 1393, 0.008, 731, 304, -252, -59,  -3,   1,   2,  87, 430, 4136, 1306, 1476, 1480, 1310, 0, SMALL_ANGLE, IDLE, 1, 1
448, 378147400,   1,   0, -85,   1,   0, -20,   2,  -2,   1,   0, -80, 1409, 0.008, 731, 304, -252, -59,   9,  -2,  37,  67, 467, 4109, 1298, 1512, 1516, 1310, 0, SMALL_ANGLE, IDLE, 1, 1
464, 378163326,   1,   1, -40,   1,  -1, -25,  -8,   2,   1,   0, -62, 1419, 0.008, 731, 304, -252, -59,   5, -19, -134, 104, 408, 4119, 1362, 1488, 1480, 1346, 0, SMALL_ANGLE, IDLE, 1, 1
480, 378179248,   1,  -1, -51,   1,  -1, -29,   4,   1,   1,   0, -33, 1430, 0.008, 731, 304, -252, -59,   6,   8, 110, 109, 395, 4186, 1343, 1505, 1515, 1357, 0, SMALL_ANGLE, IDLE, 1, 1
496, 378195194,  -2,   0, -17,   1,  -1, -30,  -4,  -3,   1,   0, -33, 1430, 0.000, 731, 304, -252, -59,  49,  -3, -96,  71, 479, 4088, 1384, 1486, 1468, 1382, 0, SMALL_ANGLE, IDLE, 1, 1
512, 378211114,   6,   0, -16,   2,  -1, -32,  -2,   2,   1,   0,  -5, 1439, 0.000, 808, 434, -163, -59, -56,  -7,  63, 108, 378, 4204, 1386, 1480, 1494, 1396, 0, SMALL_ANGLE, IDLE, 1, 1
528, 378227056,  -1,  -1,  13,   2,  -1, -31,   2,   0,   1,   0,  -4, 1439, 0.000, 808, 434, -163, -59,  33,  11, -106,  30, 413, 4194, 1416, 1456, 1458, 1426, 0, SMALL_ANGLE, IDLE, 1, 1
544, 378242998,   5,   1,  -8,   2,  -1, -31,   2,   1,   1,   0,  -4, 1439, 0.000, 808, 434, -163, -59, -45, -26,  22,  -7, 354, 4203, 1392, 1468, 1488, 1408, 0, SMALL_ANGLE, IDLE, 1, 1
560, 378258925,  12,   7,  15,   3,   0, -30,   5,   2,   1,   0,  -4, 1439, 0.000, 808, 434, -163, -59, -130, -94, -116, 733, 305, 4213, 1413, 1425, 1483, 1435, 0, SMALL_ANGLE, IDLE, 1, 1
576, 378274862,  20,   7,  -2,   4,   1, -30,   0,  -7,   1,   0,  -4, 1439, 0.000, 808, 434, -163, -59, -231, -95, -17, 1792, -3705, 4389, 1384, 1446, 1496, 1430, 0, SMALL_ANGLE, IDLE, 1, 1
592, 378290802,  20,   4, -19,   6,   1, -31,  -5,  -2,   1,   0,  -4, 1439, 0.000, 808, 434, -163, -59, -226, -58,  88, 681, -1016, 4571, 1371, 1465, 1513, 1407, 0, SMALL_ANGLE, IDLE, 1, 1
608, 378306716,   9,  -4,   5,   8,   1, -32,  -9,  -5,   1,   0,  -4, 1439, 0.000, 808, 434, -163, -59, -88,  41, -56, 1650, -2268, 4738, 1396, 1466, 1466, 1428, 0, SMALL_ANGLE, IDLE, 1, 1
624, 378322692,  -5,  -1,  -7,   8,   1, -32,  -6,   7,   1,   0,  -5, 1439, 0.000, 1027, 383, -20, -59,  79,  15,   8, 1244, -134, 5084, 1410, 1474, 1482, 1390, 0, SMALL_ANGLE, IDLE, 1, 1
640, 378338619,  -6,  12,   0,   7,   2, -33,   6,   6,   1,   0,  -5, 1439, 0.000, 1027, 383, -20, -59,  92, -150, -39, 304, 126, 4623, 1419, 1445, 1499, 1393, 0, SMALL_ANGLE, IDLE, 1, 1
656, 378354533,  -4,  23,  -2,   7,   3, -33,   4,   1,   1,   0, -15, 1439, 0.000, 1027, 383, -20, -62,  69, -291, -80, 112, -466, 5579, 1424, 1440, 1508, 1384, 0, SMALL_ANGLE, IDLE, 1, 1
